entity_type,bundle_name,entity_id,field_name,weight,address,street,street2,city,province,zip,country,timezone,zoom,lat,lng,term_id
post,charity_bin_dir_ltg,14607,location_address,0,"Cedar St, Bastrop, TX 78602, USA",Cedar Street,,,Texas,78602,US,,10,30.116931,-97.315105,0
post,charity_bin_dir_ltg,14608,location_address,0,"10090 Florida Blvd, Baton Rouge, LA 70815, USA",10090 Florida Boulevard,,Baton Rouge,Louisiana,70815,US,,10,30.455551,-91.070303,0
post,charity_bin_dir_ltg,14609,location_address,0,"12390 Scotland Ave, Baton Rouge, LA 70807, USA",12390 Scotland Avenue,,Baton Rouge,Louisiana,70807,US,,10,30.558223,-91.173137,0
post,charity_bin_dir_ltg,14610,location_address,0,"15232 George Oneal Rd, Baton Rouge, LA 70817, USA",15232 George Oneal Road,,Baton Rouge,Louisiana,70817,US,,10,30.40609,-91.01509,0
post,charity_bin_dir_ltg,14611,location_address,0,"3132 College Dr, Baton Rouge, LA 70808, USA",3132 College Drive,,Baton Rouge,Louisiana,70808,US,,10,30.419981,-91.143099,0
post,charity_bin_dir_ltg,14612,location_address,0,"3132 College Dr, Baton Rouge, LA 70808, USA",3132 College Drive,,Baton Rouge,Louisiana,70808,US,,10,30.419981,-91.143099,0
post,charity_bin_dir_ltg,14613,location_address,0,"7515 Guy Dr, Baton Rouge, LA 70806, USA",7515 Guy Drive,,Baton Rouge,Louisiana,70806,US,,10,30.433645,-91.110202,0
post,charity_bin_dir_ltg,14614,location_address,0,"9335 Burbank Dr, Baton Rouge, LA 70820, USA",9335 Burbank Drive,,,Louisiana,70820,US,,10,30.361184,-91.124505,0
post,charity_bin_dir_ltg,14615,location_address,0,"9960 Bluebonnet Blvd, Baton Rouge, LA 70810, USA",9960 Bluebonnet Boulevard,,Baton Rouge,Louisiana,70810,US,,10,30.355594,-91.111128,0
post,charity_bin_dir_ltg,14616,location_address,0,"9960 Bluebonnet Blvd, Baton Rouge, LA 70810, USA",9960 Bluebonnet Boulevard,,Baton Rouge,Louisiana,70810,US,,10,30.355594,-91.111128,0
post,charity_bin_dir_ltg,14617,location_address,0,"7921 Camp Bowie W Blvd, Benbrook, TX 76116, USA",7921 Camp Bowie West Boulevard,,,Texas,76116,US,,10,32.72216,-97.45394,0
post,charity_bin_dir_ltg,14618,location_address,0,"170 S Gabriel St, Bertram, TX 78605, USA",170 South Gabriel Street,,,Texas,78605,US,,10,30.743479,-98.054899,0
post,charity_bin_dir_ltg,14619,location_address,0,"1301 Martin Ln, Bossier City, LA 71111, USA",1301 Martin Lane,,,Louisiana,71111,US,,10,32.519479,-93.725144,0
post,charity_bin_dir_ltg,14620,location_address,0,"1314 Barksdale Blvd, Bossier City, LA 71111, USA",1314 Barksdale Boulevard,,,Louisiana,71111,US,,10,32.515525,-93.725281,0
post,charity_bin_dir_ltg,14621,location_address,0,"2150 Barksdale Blvd, Bossier City, LA 71112, USA",2150 Barksdale Boulevard,,,Louisiana,71112,US,,10,32.511496,-93.711424,0
post,charity_bin_dir_ltg,14622,location_address,0,"2201 E Texas St, Bossier City, LA 71111, USA",2201 East Texas Street,,Bossier City,Louisiana,71111,US,,10,32.528783,-93.718213,0
post,charity_bin_dir_ltg,14623,location_address,0,"2334 Barksdale Blvd, Bossier City, LA 71112, USA",2334 Barksdale Boulevard,,,Louisiana,71112,US,,10,32.507719,-93.703265,0
post,charity_bin_dir_ltg,14624,location_address,0,"329 E Texas St, Bossier City, LA 71111, USA",329 East Texas Street,,,Louisiana,71111,US,,10,32.521371,-93.736044,0
post,charity_bin_dir_ltg,14625,location_address,0,"748 Diamond Jacks Blvd, Bossier City, LA 71111, USA",748 Diamond Jacks Boulevard,,,Louisiana,71111,US,,10,32.513106,-93.726241,0
post,charity_bin_dir_ltg,14626,location_address,0,"1210 S Market St, Brenham, TX 77833, USA",1210 South Market Street,,,Texas,77833,US,,10,30.158769,-96.393179,0
post,charity_bin_dir_ltg,14627,location_address,0,"210 E Alamo St, Brenham, TX 77833, USA",210 East Alamo Street,,Brenham,Texas,77833,US,,10,30.166813,-96.396741,0
post,charity_bin_dir_ltg,14628,location_address,0,"2110 Hwy 290 E, Brenham, TX 77833, USA",,,,,,,,10,30.140998,-96.358773,0
post,charity_bin_dir_ltg,14629,location_address,0,"1199 W Villa Maria Rd, Bryan, TX 77801, USA",1199 West Villa Maria Road,,Bryan,Texas,77801,US,,10,30.632545,-96.372023,0
post,charity_bin_dir_ltg,14630,location_address,0,"1422 FM2223, Bryan, TX 77808, USA",,,,,,,,10,30.72085,-96.364722,0
post,charity_bin_dir_ltg,14631,location_address,0,"1609 N Texas Ave, Bryan, TX 77803, USA",1609 North Texas Avenue,,Bryan,Texas,77803,US,,10,30.689873,-96.372141,0
post,charity_bin_dir_ltg,14632,location_address,0,"1619 N Harvey Mitchell Pkwy, Bryan, TX 77807, USA",1619 North Harvey Mitchell Parkway,,Bryan,Texas,77803,US,,10,30.640401,-96.382432,0
post,charity_bin_dir_ltg,14633,location_address,0,"2805 N Texas Ave, Bryan, TX 77803, USA",2805 North Texas Avenue,,Bryan,Texas,77803,US,,10,30.695939,-96.382056,0
post,charity_bin_dir_ltg,14634,location_address,0,"808 E 25th St, Bryan, TX 77803, USA",808 East William J Bryan Parkway,,Bryan,Texas,77803,US,,10,30.673533,-96.364636,0
post,charity_bin_dir_ltg,14635,location_address,0,"212 NE Wilshire Blvd, Burleson, TX 76028, USA",Northeast Wilshire Boulevard,,,Texas,76028,US,,10,32.546465,-97.324477,0
post,charity_bin_dir_ltg,14636,location_address,0,"860 E Renfro St, Burleson, TX 76028, USA",860 East Renfro Street,,,Texas,76028,US,,10,32.536583,-97.301077,0
post,charity_bin_dir_ltg,14637,location_address,0,"601 N Main St, Burton, TX 77835, USA",601 North Main Street,,Burton,Texas,77835,US,,10,30.182439,-96.596443,0
post,charity_bin_dir_ltg,14638,location_address,0,"403 TX-21, Caldwell, TX 77836, USA",403 TX 21,,,Texas,77836,US,,10,30.532412,-96.698883,0
post,charity_bin_dir_ltg,14639,location_address,0,"815 TX-36, Caldwell, TX 77836, USA",815 TX 36,,,Texas,77836,US,,10,30.542521,-96.703541,0
post,charity_bin_dir_ltg,14640,location_address,0,"1510 US-80, Calhoun, LA 71225, USA",US 80,,,Louisiana,71225,US,,10,32.524726,-92.304044,0
post,charity_bin_dir_ltg,14641,location_address,0,"291 US-80, Calhoun, LA 71225, USA",291 US 80,,,Louisiana,71225,US,,10,32.520491,-92.327686,0
post,charity_bin_dir_ltg,14642,location_address,0,"3738 Elm St, Choudrant, LA 71227, USA",3738 Elm Street,,,Louisiana,71227,US,,10,32.534829,-92.511799,0
post,charity_bin_dir_ltg,14643,location_address,0,"12675 FM 2154, College Station, TX 77845, USA",12675 Wellborn Road,,College Station,Texas,77845,US,,10,30.572139,-96.310791,0
post,charity_bin_dir_ltg,14644,location_address,0,"1615 University Dr E, College Station, TX 77840, USA",1615 University Drive East,,College Station,Texas,77840,US,,10,30.641356,-96.314558,0
post,charity_bin_dir_ltg,14645,location_address,0,"2232 Texas Ave S, College Station, TX 77840, USA",2232 Texas Avenue South,,College Station,Texas,77840,US,,10,30.609507,-96.312576,0
post,charity_bin_dir_ltg,14646,location_address,0,"2400 Earl Rudder Fwy, College Station, TX 77840, USA",2400 South Earl Rudder Freeway,,College Station,Texas,77845,US,,10,30.620485,-96.29869,0
post,charity_bin_dir_ltg,14647,location_address,0,"3300 Texas 6 Frontage Rd, College Station, TX 77845, USA",,,,,,,,10,30.59365,-96.29265,0
post,charity_bin_dir_ltg,14648,location_address,0,"600 Graham Rd, College Station, TX 77845, USA",600 Graham Road,,College Station,Texas,77845,US,,10,30.568213,-96.296153,0
post,charity_bin_dir_ltg,14649,location_address,0,"5024 Cut-Off Rd, Coushatta, LA 71019, USA",,,,,,,,10,32.021838,-93.339641,0
post,charity_bin_dir_ltg,14650,location_address,0,"5115 Cut-Off Rd, Coushatta, LA 71019, USA",,,,,,,,10,32.019915,-93.332195,0
post,charity_bin_dir_ltg,14651,location_address,0,"412 FM1187, Crowley, TX 76036, USA",,,,,,,,10,32.566589,-97.353673,0
post,charity_bin_dir_ltg,14652,location_address,0,"430 E Main St, Crowley, TX 76036, USA",East Main Street,,,Texas,76036,US,,10,32.577381,-97.354272,0
post,charity_bin_dir_ltg,14653,location_address,0,"10040 Shoreview Rd, Dallas, TX 75238, USA",10040 Shoreview Road,,Dallas,Texas,75238,US,,10,32.865518,-96.713447,0
